paper,title,author,affiliation
s15-3,ボディ熱変形CAEの活用によるマスチック適用部の品質向上,大井　宏一郎,スズキ
s15-3,ボディ熱変形CAEの活用によるマスチック適用部の品質向上,大堀　敏郎,スズキ
s15-4,水平リサイクルに向けた廃車より回収したシートベルトウェビングの製造年分布と汚れ・劣化状態の分析(第1報),小林　正俊,本田技術研究所
s15-4,水平リサイクルに向けた廃車より回収したシートベルトウェビングの製造年分布と汚れ・劣化状態の分析(第1報),福田　猛,本田技術研究所
s17-2,インホイールモーターの回転数変動情報に基づくトラクション制御手法の開発,安島　俊幸,日立製作所
s17-2,インホイールモーターの回転数変動情報に基づくトラクション制御手法の開発,山崎　勝,日立製作所
s17-2,インホイールモーターの回転数変動情報に基づくトラクション制御手法の開発,初瀬　渉,日立製作所
s17-3,インホイールモーターの制駆動力を用いた乗り心地を向上させる車両上下振動の制御技術の開発,安島　俊幸,日立製作所
s17-3,インホイールモーターの制駆動力を用いた乗り心地を向上させる車両上下振動の制御技術の開発,山崎　勝,日立製作所
s17-3,インホイールモーターの制駆動力を用いた乗り心地を向上させる車両上下振動の制御技術の開発,八田　直樹,日立製作所
s17-4,目標車両モデルを内包するモデル予測制御を用いた走行安定化技術,小原　大輝,日立製作所
s17-4,目標車両モデルを内包するモデル予測制御を用いた走行安定化技術,石原　新士,日立製作所
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,加藤　英晃,東海大学
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,吉田　郁也,東海大学
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,呉　文宝,東海大学
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,黒田　純平,東海大学
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,小林　一景,東海大学
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,成田　正敬,東海大学
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,傅　李汀,東海大学
s18-1,Verification of PBV driving performance for universal mobility using suspension module test rig,David Song,Hyundai Motor
s18-1,Verification of PBV driving performance for universal mobility using suspension module test rig,Hyunjae Lee,Hyundai Motor
s18-1,Verification of PBV driving performance for universal mobility using suspension module test rig,Jongho Ko,Hyundai Motor
s18-1,Verification of PBV driving performance for universal mobility using suspension module test rig,Seonghun Kim,Hyundai Motor
s18-1,Verification of PBV driving performance for universal mobility using suspension module test rig,Seungmin Kwon,Hyundai Motor
s18-1,Verification of PBV driving performance for universal mobility using suspension module test rig,Yongsub Yi,Hyundai Motor
s18-2,Development of MF(Magic Formula) Tire Model Application Technique,Jinhee Lee,Hyundai Motor
s18-3,A Study on Harmonic Performance for EV SUV Aftershock Improvement<br>-In View of Frequency Seperation and Bushing Cahracteristics-,DAE-UN SUNG,Hyundai Motor
s18-3,A Study on Harmonic Performance for EV SUV Aftershock Improvement<br>-In View of Frequency Seperation and Bushing Cahracteristics-,TAEHEE LEE,Hyundai Motor
s18-3,A Study on Harmonic Performance for EV SUV Aftershock Improvement<br>-In View of Frequency Seperation and Bushing Cahracteristics-,YONG-HYUN RYU,Hyundai Motor
s19-1,ロードノイズ低減のための機械学習による車両各部の目標特性決定手法（第2報）<br>-複数解探索手法の構築-,市川　佳,本田技研工業
s19-1,ロードノイズ低減のための機械学習による車両各部の目標特性決定手法（第2報）<br>-複数解探索手法の構築-,堤　純,本田技研工業
s19-1,ロードノイズ低減のための機械学習による車両各部の目標特性決定手法（第2報）<br>-複数解探索手法の構築-,島村　雄太,本田技研工業
s20-1,機構解析・機械学習のハイブリッドモデル構築と駆動系捩り振動開発での適用,Roberto Gonzalez Flores,マツダ
s20-1,機構解析・機械学習のハイブリッドモデル構築と駆動系捩り振動開発での適用,近末　竜,マツダ
s20-1,機構解析・機械学習のハイブリッドモデル構築と駆動系捩り振動開発での適用,工藤　健志,マツダ
s20-1,機構解析・機械学習のハイブリッドモデル構築と駆動系捩り振動開発での適用,森田　聖惇,マツダ
s20-1,機構解析・機械学習のハイブリッドモデル構築と駆動系捩り振動開発での適用,田中　和宏,マツダ
s20-2,HEVダンパ特性によるTHSエンジン起動時振動メカニズム解析,金子　広孝,トヨタ自動車
s20-2,HEVダンパ特性によるTHSエンジン起動時振動メカニズム解析,佐川　正記,トヨタ自動車
s20-2,HEVダンパ特性によるTHSエンジン起動時振動メカニズム解析,清水　聡,トヨタ自動車
s20-2,HEVダンパ特性によるTHSエンジン起動時振動メカニズム解析,末益　賢治,トヨタ自動車
s20-2,HEVダンパ特性によるTHSエンジン起動時振動メカニズム解析,野竹　勇貴,トヨタ自動車
s20-3,半無響環境PT-VRSの車両振動騒音開発への適用,駒田　匡史,トヨタ自動車
s20-3,半無響環境PT-VRSの車両振動騒音開発への適用,小鍜治　純,トヨタ自動車
s20-3,半無響環境PT-VRSの車両振動騒音開発への適用,森田　英憲,トヨタ自動車
s20-3,半無響環境PT-VRSの車両振動騒音開発への適用,成田　善英,トヨタ自動車
s2-1,λ=1過給直噴水素エンジンの開発,臼井　雄太郎,スズキ
s2-1,λ=1過給直噴水素エンジンの開発,吉村　佳,スズキ
s2-1,λ=1過給直噴水素エンジンの開発,中間　健二郎,スズキ
s2-1,λ=1過給直噴水素エンジンの開発,渡邉　直人,スズキ
s21-3,高減衰化によって体の動きを低減させるシート構造,稲葉　修,本田技研工業
s21-3,高減衰化によって体の動きを低減させるシート構造,小林　幸夫,本田技研工業
s21-3,高減衰化によって体の動きを低減させるシート構造,富田　孝文,本田技研工業
s21-4,EPS作動音予測に向けたDynamic Substructuringの活用,鎌野　寛隆,トヨタ自動車
s21-5,ボルト締結部の振動特性に及ぼす接合界面の介在物の影響,岸本　喜直,東京都市大学
s21-5,ボルト締結部の振動特性に及ぼす接合界面の介在物の影響,小林　志好,東京都市大学
s22-1,熱弾性温度変動を用いたC-SMCの疲労損傷度評価,佐藤　康元,豊田中央研究所
s22-1,熱弾性温度変動を用いたC-SMCの疲労損傷度評価,三国　敦,トヨタ自動車
s22-1,熱弾性温度変動を用いたC-SMCの疲労損傷度評価,濱田　幸宏,トヨタ自動車
s22-3,複数の破壊形態を考慮した点接合部の疲労強度予測手法<br>-Flow Drilling Screw (FDS)の疲労強度予測手法-,磯野　志之,トヨタ自動車
s22-3,複数の破壊形態を考慮した点接合部の疲労強度予測手法<br>-Flow Drilling Screw (FDS)の疲労強度予測手法-,浦川　和士,トヨタ自動車
s22-3,複数の破壊形態を考慮した点接合部の疲労強度予測手法<br>-Flow Drilling Screw (FDS)の疲労強度予測手法-,河村　拓昌,トヨタ自動車
s22-3,複数の破壊形態を考慮した点接合部の疲労強度予測手法<br>-Flow Drilling Screw (FDS)の疲労強度予測手法-,後藤　卓,トヨタ自動車
s22-3,複数の破壊形態を考慮した点接合部の疲労強度予測手法<br>-Flow Drilling Screw (FDS)の疲労強度予測手法-,新里　映太,トヨタ自動車
s22-3,複数の破壊形態を考慮した点接合部の疲労強度予測手法<br>-Flow Drilling Screw (FDS)の疲労強度予測手法-,宅野　聡悟,トヨタ自動車
s22-6,A Study on Vaporizing foil actuator welding (VFAW) for steel-aluminum dissimilar metals joining without hardware,Changyeol Yoo,Hyundai Motor
s22-6,A Study on Vaporizing foil actuator welding (VFAW) for steel-aluminum dissimilar metals joining without hardware,Hyuckmin Kwon,Hyundai Motor
s22-6,A Study on Vaporizing foil actuator welding (VFAW) for steel-aluminum dissimilar metals joining without hardware,Junyeong Jeong,Hyundai Motor
s22-6,A Study on Vaporizing foil actuator welding (VFAW) for steel-aluminum dissimilar metals joining without hardware,Younil Jung,Hyundai Motor
s23-4,AIサロゲートを用いた構造体強度開発のプロセス効率化,胡木　隆,マツダ
s23-4,AIサロゲートを用いた構造体強度開発のプロセス効率化,西川　潤,マツダ
s23-4,AIサロゲートを用いた構造体強度開発のプロセス効率化,川口　幹祐,マツダ
s23-4,AIサロゲートを用いた構造体強度開発のプロセス効率化,中野　徹,マツダ
s23-4,AIサロゲートを用いた構造体強度開発のプロセス効率化,田中　元基,マツダ
s24-1,A Study on the Optimization of Door BIW Structure Using Thin Casting Method,DongHa Kang,Hyundai Motor
s24-1,A Study on the Optimization of Door BIW Structure Using Thin Casting Method,HeeBeom Yang,Hyundai Motor
s24-1,A Study on the Optimization of Door BIW Structure Using Thin Casting Method,JeongMin Kang,Hyundai Motor
s24-1,A Study on the Optimization of Door BIW Structure Using Thin Casting Method,JungHan Kim,Hyundai Motor
s24-1,A Study on the Optimization of Door BIW Structure Using Thin Casting Method,SANGJIN LEE,Hyundai Motor
s24-1,A Study on the Optimization of Door BIW Structure Using Thin Casting Method,SangYoung Im,Hyundai Motor
s24-1,A Study on the Optimization of Door BIW Structure Using Thin Casting Method,SeongHwan Seo,Hyundai Motor
s24-2,The Development of the TPV Door Inner Belt WeatherStrip meets Wind Noise Targets and Prevents Glass Sliding Squeak Noise Simultaneously,Boram Kang,Hyundai Motor
s24-2,The Development of the TPV Door Inner Belt WeatherStrip meets Wind Noise Targets and Prevents Glass Sliding Squeak Noise Simultaneously,Jaehoon Kim,Hyundai Motor
s24-2,The Development of the TPV Door Inner Belt WeatherStrip meets Wind Noise Targets and Prevents Glass Sliding Squeak Noise Simultaneously,Jeehoon Seong,Hyundai Motor
s24-2,The Development of the TPV Door Inner Belt WeatherStrip meets Wind Noise Targets and Prevents Glass Sliding Squeak Noise Simultaneously,Jungdae Kim,Hyundai Motor
s24-2,The Development of the TPV Door Inner Belt WeatherStrip meets Wind Noise Targets and Prevents Glass Sliding Squeak Noise Simultaneously,Sanghyun Lee,Hyundai Motor
s24-2,The Development of the TPV Door Inner Belt WeatherStrip meets Wind Noise Targets and Prevents Glass Sliding Squeak Noise Simultaneously,Youngchel Sin,Hyundai Motor
s24-3,Package and design study for application of B pillar less door,CHUNG SIK YIM,Hyundai Motor
s24-3,Package and design study for application of B pillar less door,HYONG DON KIM,Hyundai Motor
s24-3,Package and design study for application of B pillar less door,KYU HOON CHO,Hyundai Motor
s24-3,Package and design study for application of B pillar less door,YONG HYUN NAM,Hyundai Motor
s24-4,Development of PBV powergate system<br>-High durability powergate mechanism-,Dong wuk Choi,Hyundai Motor
s24-4,Development of PBV powergate system<br>-High durability powergate mechanism-,Doo young Jung,Hyundai Motor
s24-4,Development of PBV powergate system<br>-High durability powergate mechanism-,Duck young Kim,Hyundai Motor
s24-4,Development of PBV powergate system<br>-High durability powergate mechanism-,Jung hoon Park,Hyundai Motor
s24-5,樹脂部材を含むボルト締結構造体の減衰性能,岸本　喜直,東京都市大学
s24-5,樹脂部材を含むボルト締結構造体の減衰性能,小林　志好,東京都市大学
s2-5,低圧直噴水素エンジンにおける高噴射率化が熱効率に与える影響,及川　昌訓,東京都市大学
s2-5,低圧直噴水素エンジンにおける高噴射率化が熱効率に与える影響,高木　靖雄,東京都市大学
s2-5,低圧直噴水素エンジンにおける高噴射率化が熱効率に与える影響,三原　雄司,東京都市大学
s2-5,低圧直噴水素エンジンにおける高噴射率化が熱効率に与える影響,山田　聖哉,東京都市大学
s2-5,低圧直噴水素エンジンにおける高噴射率化が熱効率に与える影響,畑　航太朗,東京都市大学
s25-1,Novel AD/ADAS Virtual Validation with Integration of LLM and Digital Twin Technologies,Carsten Simon,IAV
s25-1,Novel AD/ADAS Virtual Validation with Integration of LLM and Digital Twin Technologies,Dr. Alexander Bradler,IAV
s25-1,Novel AD/ADAS Virtual Validation with Integration of LLM and Digital Twin Technologies,Dr. Christian Lang,IAV
s25-1,Novel AD/ADAS Virtual Validation with Integration of LLM and Digital Twin Technologies,Prof. Dr. Reza Rezaei,IAV
s25-1,Novel AD/ADAS Virtual Validation with Integration of LLM and Digital Twin Technologies,Thorsten Scheibe,IAV
s25-1,Novel AD/ADAS Virtual Validation with Integration of LLM and Digital Twin Technologies,Yassine Neifer,IAV
s26-1,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-リアルタイム性を有するダンパーモデルの開発とOEM車両モデルの社内開発への活用-,安達　幸弘,トヨタ自動車
s26-1,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-リアルタイム性を有するダンパーモデルの開発とOEM車両モデルの社内開発への活用-,岩松　俊介,トヨタ自動車
s26-1,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-リアルタイム性を有するダンパーモデルの開発とOEM車両モデルの社内開発への活用-,森　和生,トヨタ自動車
s26-1,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-リアルタイム性を有するダンパーモデルの開発とOEM車両モデルの社内開発への活用-,星　利勝,トヨタ自動車
s26-1,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-リアルタイム性を有するダンパーモデルの開発とOEM車両モデルの社内開発への活用-,牧野　光徳,トヨタ自動車
s26-2,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-ドライビングシミュレータを用いた評価手法検討-,安達　幸弘,トヨタ自動車
s26-2,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-ドライビングシミュレータを用いた評価手法検討-,岩松　俊介,トヨタ自動車
s26-2,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-ドライビングシミュレータを用いた評価手法検討-,森　和生,トヨタ自動車
s26-2,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-ドライビングシミュレータを用いた評価手法検討-,星　利勝,トヨタ自動車
s26-2,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-ドライビングシミュレータを用いた評価手法検討-,牧野　光徳,トヨタ自動車
s27-1,AIフォーミュラ開催に向けた取り組み,Kota Sakazaki,本田技術研究所
s27-1,AIフォーミュラ開催に向けた取り組み,安井　裕司,本田技術研究所
s27-1,AIフォーミュラ開催に向けた取り組み,岡田　眞也,本田技術研究所
s27-1,AIフォーミュラ開催に向けた取り組み,加藤　敦,本田技術研究所
s27-1,AIフォーミュラ開催に向けた取り組み,秋元　優輝,本田技術研究所
s27-1,AIフォーミュラ開催に向けた取り組み,大村　一櫻,本田技術研究所
s27-4,複数のアプローチによる自動緊急回避ベンチマーク問題の解法探索,安井　裕司,本田技術研究所
s27-4,複数のアプローチによる自動緊急回避ベンチマーク問題の解法探索,熊野　孝保,本田技術研究所
s27-4,複数のアプローチによる自動緊急回避ベンチマーク問題の解法探索,謝　思暘,本田技術研究所
s27-5,振動抑制項を加えた多項式回帰による車両の軌道追従制御,戸田　耕佑,本田技術研究所
s27-5,振動抑制項を加えた多項式回帰による車両の軌道追従制御,後藤　建,本田技術研究所
s27-5,振動抑制項を加えた多項式回帰による車両の軌道追従制御,小川　和樹,本田技術研究所
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,伊藤　倫,名古屋大学
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,山内　さつき,名古屋大学
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,小嶋　理江,名古屋大学
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,青木　宏文,名古屋大学
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,青木　邦友,名古屋大学
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,平野昭夫　平野昭夫,名古屋大学
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,米川　隆,名古屋大学
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,名切　末晴,名古屋大学
s28-4,高齢ドライバのフレイル，運転経験および安全欲求の実態<br>-運転寿命延伸を目指したドライバ運転特性研究（45）-,井上　愛子,名古屋大学
s28-4,高齢ドライバのフレイル，運転経験および安全欲求の実態<br>-運転寿命延伸を目指したドライバ運転特性研究（45）-,青木　宏文,名古屋大学
s28-4,高齢ドライバのフレイル，運転経験および安全欲求の実態<br>-運転寿命延伸を目指したドライバ運転特性研究（45）-,谷口　俊治,名古屋大学
s28-4,高齢ドライバのフレイル，運転経験および安全欲求の実態<br>-運転寿命延伸を目指したドライバ運転特性研究（45）-,梅垣　宏行,名古屋大学
s28-5,タッチパネルディスプレイを用いた運転リスク評価と画像解析から推定された運転リスクの関係,寺山　麻純,名古屋大学
s28-5,タッチパネルディスプレイを用いた運転リスク評価と画像解析から推定された運転リスクの関係,清水　政行,名古屋大学
s28-5,タッチパネルディスプレイを用いた運転リスク評価と画像解析から推定された運転リスクの関係,青木　宏文,名古屋大学
s28-6,異常運転の検知手法開発,伊藤　隆文,デンソー
s28-6,異常運転の検知手法開発,山岡　将綺,デンソー
s28-6,異常運転の検知手法開発,山高　大乗,デンソー
s28-6,異常運転の検知手法開発,中村　典雅,デンソー
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,恩田　和征,スズキ
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,山﨑　拓真,スズキ
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,堀田　英則,スズキ
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,髙津　幸広,スズキ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,岡本　宜久,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,梶川　浩子,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,佐藤　大地,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,手嶋　啓太,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,石井　秀和,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,竹村　和紘,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,渡邊　雅之,マツダ
s29-6,対話型ユーザインタフェースの認知負荷の簡便な計測法の開発(第2報),岸　浩司,名古屋大学
s29-6,対話型ユーザインタフェースの認知負荷の簡便な計測法の開発(第2報),青木　宏文,名古屋大学
s29-7,A Study on the change of bio-signals under driver stress,Baekhee Lee,Hyundai Motor
s29-7,A Study on the change of bio-signals under driver stress,Yoseob Lee,Hyundai Motor
s30-4,農業のスマート安全に資するトラクタドライビングシミュレータ,風間　恵介,日本大学
s3-1,筒内直接噴射式火花点火機関の非定常筒内流動場における噴霧形成過程の解明,原口　茂則,本田技研工業
s3-1,筒内直接噴射式火花点火機関の非定常筒内流動場における噴霧形成過程の解明,佐藤　義久,本田技研工業
s31-1,先進安全技術の進化と事故低減効果解析 （第3報）,三田　友紀子,トヨタ自動車
s31-1,先進安全技術の進化と事故低減効果解析 （第3報）,池田　幸洋,トヨタ自動車
s31-1,先進安全技術の進化と事故低減効果解析 （第3報）,長谷川　俊,トヨタ自動車
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,Nihan Karatas,名古屋大学
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,横井　康伸,トヨタ自動車
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,吉原　祐器,名古屋大学
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,金森　等,名古屋大学
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,原田　あすか,名古屋大学
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,山田　健一,トヨタ自動車
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,水間　隼人,トヨタ自動車
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,田中　貴紘,名古屋大学
s31-5,スマートフォンを活用した横断児童接近通知システムの効果評価,安井　智子,トヨタ自動車
s31-5,スマートフォンを活用した横断児童接近通知システムの効果評価,横井　康伸,トヨタ自動車
s3-2,内燃機関の設計計算に適用可能な粒径分布予測モデルの開発（第3報）<br>-5成分ガソリンサロゲートに対する検証-,秋濱　一弘,日本大学
s32-1,V2N技術を用いた危険回避ブレーキ制御システムの成立性検証,入江　喜朗,トヨタ自動車
s33-1,水素専焼エンジン油圧パワーショベルの実証試験に基づく排気特性と燃費性能の評価,伊東　明美,東京都市大学
s33-2,アルゴン循環型2サイクル水素エンジンの研究,阿部　貴大,東海大学
s33-2,アルゴン循環型2サイクル水素エンジンの研究,王　喆,東海大学
s33-2,アルゴン循環型2サイクル水素エンジンの研究,陳　之立,東海大学
s33-3,アルゴン循環型水素エンジンにおける循環系加圧の研究,近藤　憂樂,東海大学
s33-3,アルゴン循環型水素エンジンにおける循環系加圧の研究,清川　凌太,東海大学
s33-3,アルゴン循環型水素エンジンにおける循環系加圧の研究,陳　之立,東海大学
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,Pravin Ananta Kadu,スズキ
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,吉村　佳,スズキ
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,村松　恵治,スズキ
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,中間　健二郎,スズキ
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,徳原　聡,スズキ
s34-4,水素エンジンの異常燃焼に関する研究<br>-ノッキング予測モデルの構築-,増田　糧,豊田中央研究所
s35-2,自動運転モビリティにおけるモデル予測制御による複数サービス指標の改善,長谷島　範安,日立製作所
s35-2,自動運転モビリティにおけるモデル予測制御による複数サービス指標の改善,齋藤　哲平,日立製作所
s35-4,車載カメラ映像とマルチモーダル大規模言語モデルによる先進運転支援システムの改善支援技術,羅　智圓,日立製作所
s35-4,車載カメラ映像とマルチモーダル大規模言語モデルによる先進運転支援システムの改善支援技術,露木　雅文,日立製作所
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,城戸　英彰,日立製作所
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,田仲　結衣,日立製作所
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,土屋　舜太郎,日立製作所
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,二宮　洸,日立製作所
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,永井　隆之,トヨタ自動車
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,岩田　隆道,豊田中央研究所
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,原　昌司,豊田中央研究所
