paper,title,affiliation,author
s56-4,Brake Emission Reduction Approaches under the impact of EU7,AVL List GmbH Graz,noname
s25-2,Building trust in collaborative simulations,ESI,noname
s25-2,Building trust in collaborative simulations,IRT SystemX,noname
s36-4,CARLAによるインフラLiDARのシミュレーションと歩行者の検出,金沢大学,noname
s8-6,CFDを用いたワイパー作動時のウォッシャ液流れ予測手法,ダッソーシステムズ株式会社,noname
s8-6,CFDを用いたワイパー作動時のウォッシャ液流れ予測手法,トヨタ自動車,noname
s10-2,Challenges and Innovations in Sustainable Urban Vehicle Design.,A43581610,noname
s71-5,Changes in dQ/dV depending on battery abnormalities,Hyundai Motor,noname
s33-5,Clarification of the Mechanism of Abnormal Combustion in Hydrogen Engines (Part I: Investigation of Abnormal Combustion Location by Numerical Analysis),Suzuki Motor,noname
s2-2,Commercial Hydrogen Engines: Methodologies for rapid mechanical development and validation,AVL List,noname
s2-2,Commercial Hydrogen Engines: Methodologies for rapid mechanical development and validation,Technical University Graz,noname
s39-3,Comparison of multi-fuel cylinder head concepts for heavy duty engine running on alternative fuels with Charge Motion Design (CMD) process,FEV Europe,noname
s39-3,Comparison of multi-fuel cylinder head concepts for heavy duty engine running on alternative fuels with Charge Motion Design (CMD) process,FEV Group GmbH,noname
s39-3,Comparison of multi-fuel cylinder head concepts for heavy duty engine running on alternative fuels with Charge Motion Design (CMD) process,TME RWTH Aachen University,noname
s43-3,Comparison of Nucleate Flow Boiling Heat Transfer on Aluminum Heating Surface Using Distilled Water Ethylene Glycol Aqueous Solution and Long-Life Coolant for IC Engine Cooling System,Sophia University,noname
s80-4,Construction of Traffic Accident Risk Assessment Method for Road Alignment Using Digital Road Map,Suwa University of Science,noname
s84-2,Customized interior lamp control<br />by detecting and determining the condition of passengers,Hyundai Motor,noname
s40-2,Demonstrating non-destructive safety diagnosis for lithium-ion battery modules based on charging curve analysis data,JET,noname
s40-2,Demonstrating non-destructive safety diagnosis for lithium-ion battery modules based on charging curve analysis data,NTSEL,noname
s40-2,Demonstrating non-destructive safety diagnosis for lithium-ion battery modules based on charging curve analysis data,TOSHIBA,noname
s3-3,Design and simulation of ignition-compression combustion system for gasoline engine,Dong Feng Motor,noname
s10-1,Design with AI assistance,Applus IDIADA,noname
s52-4,Development of a Container-Based Yocto Build System for an Infotainment SW Platform,Hyundai Motor,noname
s73-2,Development of Battery Data Generation Technology <br />Using Time Series Wasserstein GAN based on Deep Learning.,Hyundai Motor,noname
s34-2,Development of fixed speed spark ignited hydrogen internal combustion engine for heavy duty non-road applications,NPS Driven B.V.,noname
s34-2,Development of fixed speed spark ignited hydrogen internal combustion engine for heavy duty non-road applications,TNO,noname
s49-1,Development Of Indoor Lighting Optimization Through Customer Preference Clinic,Hyundai Motor,noname
s18-2,Development of MF(Magic Formula) Tire Model Application Technique,Hyundai Motor,noname
s64-2,Development of optimized GPF performances based on GPF Model,Hyundai Motor,noname
s24-4,Development of PBV powergate system<br>-High durability powergate mechanism-,Hyundai Motor,noname
s24-4,Development of PBV powergate system<br>-High durability powergate mechanism-,PHA,noname
s78-1,Development of Sub System Sled-Based Lateral Pole Impact Test,Applus+ IDIADA,noname
s69-2,Development of Tire and Vehicle Performance Prediction Model using Machine Learning,Hyundai Motor,noname
s72-5,Driving Efficiency and Innovation in BEVs<br>-Next-Generation Electronics-,Schaeffler AG,noname
s72-5,Driving Efficiency and Innovation in BEVs<br>-Next-Generation Electronics-,Schaeffler Japan Co. Ltd,noname
s73-4,Early fault detection in lithium-ion batteries using machine learning,FEV Europe,noname
s4-3,Electrified Motorcycle Powertrains - Hybrid Concepts Paving the Way to Future Technologies,AVL List,noname
s70-2,End-of-Life Automotive Battery Value Chain: Opportunities for Critical Materials Supply Chain Resilience,Advanced Propulsion Centre UK,noname
s11-4,End-to-End Secure Automotive IoT Applications,TBD,noname
s51-2,Enhancing Vehicle Safety Through AI-based Motion Prediction and Drivable Space Estimation,Netherlands Organisation for Applied Scientific Research,noname
s51-2,Enhancing Vehicle Safety Through AI-based Motion Prediction and Drivable Space Estimation,TNO Japan,noname
s51-2,Enhancing Vehicle Safety Through AI-based Motion Prediction and Drivable Space Estimation,TU/e,noname
s75-2,eNVH Analysis of a PM Motor with Uneven Magnetization and Rotor Eccentricity,EM Works,noname
s75-2,eNVH Analysis of a PM Motor with Uneven Magnetization and Rotor Eccentricity,ESI,noname
s75-2,eNVH Analysis of a PM Motor with Uneven Magnetization and Rotor Eccentricity,virsolTech Engineering Consulting LLC,noname
s21-4,EPS作動音予測に向けたDynamic Substructuringの活用,トヨタ自動車,noname
s48-6,Establishment of target aero drag and investment criteria considering vehicle characteristics,Hyundai Motor,noname
s51-4,EU landscape for safety assessment of Connected and Automated Driving,TNO,noname
s66-1,Euro 7 OBM and solutions to on-board emissions assessment,None,noname
s78-4,Evaluation of ATD and Human Body Model Responses in Rear Impact Scenarios,IDIADA China,noname
s78-4,Evaluation of ATD and Human Body Model Responses in Rear Impact Scenarios,IDIADA Spain,noname
s60-4,EV車両モデルを用いた自動車ガラスのOCCに関する検討と提案（第2報）<br>-EVキャビン熱モデルによるデジタル認証プロトコルのPOC-,AGC,noname
s60-4,EV車両モデルを用いた自動車ガラスのOCCに関する検討と提案（第2報）<br>-EVキャビン熱モデルによるデジタル認証プロトコルのPOC-,JSOL,noname
s60-4,EV車両モデルを用いた自動車ガラスのOCCに関する検討と提案（第2報）<br>-EVキャビン熱モデルによるデジタル認証プロトコルのPOC-,デジタルツインズ,noname
s60-4,EV車両モデルを用いた自動車ガラスのOCCに関する検討と提案（第2報）<br>-EVキャビン熱モデルによるデジタル認証プロトコルのPOC-,三菱重工サーマルシステムズ,noname
s60-4,EV車両モデルを用いた自動車ガラスのOCCに関する検討と提案（第2報）<br>-EVキャビン熱モデルによるデジタル認証プロトコルのPOC-,同志社大学,noname
s3-4,Experimental study of gasoline engine on the test-bench base on SICI combustion model,Dong Feng Motor,noname
s19-6,FEMを用いた変位加振による振動応答エネルギー最小化の板厚変動による構造最適化に関する研究(第2報：評価点音圧への影響について),長崎総合科学大学,noname
s12-1,Firmware Security Module,IAV,noname
s12-1,Firmware Security Module,IAV Japan Co. Ltd.,noname
s72-1,Future E-Truck Innovation: Next generation e-Powertrain concept for maximum flexibility and cost scaling.,IAV,noname
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Fraunhofer Institut,noname
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,IAV,noname
s20-2,HEVダンパ特性によるTHSエンジン起動時振動メカニズム解析,トヨタ自動車,noname
s71-3,High fidelity IPMSM model used for sensor-less algorithm comparative study,Ricardo PLC,noname
s81-6,How AI shapes smooth vehicle user experience with Small Language Models - today,FEV.io,noname
s50-3,How does pre-crash environment affect injury risk? Injury prediction and analysis based on graph neural network,Institute of Science Tokyo,noname
s50-3,How does pre-crash environment affect injury risk? Injury prediction and analysis based on graph neural network,JARI,noname
s29-3,HUD虚像の振動補正における眼球機能解析,新潟大学,noname
s29-3,HUD虚像の振動補正における眼球機能解析,日本精機,noname
s29-2,HUD虚像の振動補正における脳機能解析,新潟大学,noname
s29-2,HUD虚像の振動補正における脳機能解析,日本精機,noname
s2-3,Hydrogen Combustion Engine : Performance Fuel Efficiency and Emissions optimisation,OPmobility,noname
s49-4,Impact Energy Absorption and Safety Evaluation of Glass Fiber Reinforced Plastic Composite Leaf Springs for Automotive Applications,Hyundai Motor,noname
s46-4,Impact of Advanced Control Techniques on Electromagnetic Torque Generation Using a Multiphysics Simulation,Applus IDIADA,noname
s46-4,Impact of Advanced Control Techniques on Electromagnetic Torque Generation Using a Multiphysics Simulation,Universitat Rovira i Virgili,noname
s58-2,Influence of the oil formulation on the oil consumption mechanisms and the emission behavior of hydrogen combustion engines,APL Automobil-Prueftechnik Landau GmbH,noname
s58-2,Influence of the oil formulation on the oil consumption mechanisms and the emission behavior of hydrogen combustion engines,Rheinland-Pfaelzische Technische Universitaet,noname
s58-2,Influence of the oil formulation on the oil consumption mechanisms and the emission behavior of hydrogen combustion engines,TotalEnergies Lubrifiants SA,noname
s66-3,Integrated Development of Chassis and Powertrain Systems: Enhancing Vehicle Motion Control through Predictive Dynamics and Virtual Validation,IAV,noname
s50-4,Investigation of Severe Injury Probability Prediction Models by Body Parts Through Decision Tree-Based Machine Learning Approach,Institute of Science Tokyo,noname
s50-4,Investigation of Severe Injury Probability Prediction Models by Body Parts Through Decision Tree-Based Machine Learning Approach,JARI,noname
s8-2,Investigation of the Flow Separation from the DrivAer Notchback Rear Window with DDES and LES,Audi,noname
s8-2,Investigation of the Flow Separation from the DrivAer Notchback Rear Window with DDES and LES,Technical University of Munich,noname
s36-2,LiDARによる雨天時でのロバストな3D物体検出,金沢大学,noname
s36-3,LiDAR点群を用いた深層学習による自己位置推定の実現,金沢大学,noname
s82-2,Manufacturing Process Technology for LiDAR Covers with Self-Healing,SECO ECOPLASTIC,noname
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,ACテクノロジーズ,noname
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,KOA,noname
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,シーメンス,noname
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,デンソー,noname
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,ルビコン,noname
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,東京科学大学,noname
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,東芝デバイスアンドストレージ,noname
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,名古屋工業大学,noname
s44-2,MBDを活用したPBN(Pass-By Noise)モデル構築(第2報)<br>-加速性能向上のためのHEV 1Dシステムモデルと連携したPBNモデル構築-,本田技研工業,noname
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,ACテクノロジーズ,noname
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,KOA,noname
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,シーメンス,noname
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,デンソー,noname
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,ルビコン,noname
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,東京科学大学,noname
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,東芝デバイス＆テクノロジーズ,noname
s25-4,MBD推進向けたシステムズエンジニアリングの取り組み,スバル,noname
s26-4,MBSE/MBD連携と生成AI(LLM)活用によるe-Axleシステム開発の効率化,Lightblue,noname
s26-4,MBSE/MBD連携と生成AI(LLM)活用によるe-Axleシステム開発の効率化,ジヤトコ,noname
s26-4,MBSE/MBD連携と生成AI(LLM)活用によるe-Axleシステム開発の効率化,パナソニック システムデザイン,noname
s18-5,Mechanism Design of Suspension and Steering Systems for Balancing Mobility and Maneuverability,Shenzhen Technology University,noname
s64-1,Modeling of gasoline particulate filters with combined use of membrane and catalyst coatings,Aristrotle University Thessaloniki,noname
s64-1,Modeling of gasoline particulate filters with combined use of membrane and catalyst coatings,Emisia SA,noname
s84-3,New Euro NCAP Protocol for General Vehicle Controls: Redefining Safety Standards for Driver Interaction Through Vehicle Design,Applus IDIADA,noname
s46-1,Next generation xEV modular platforms powered by ProteanDrive In-Wheel Motor,Protean Electric,noname
s25-1,Novel AD/ADAS Virtual Validation with Integration of LLM and Digital Twin Technologies,IAV,noname
s8-5,Numerical Implementation of a Leak Testing Method to be applied to High Voltage Batteries,Audi,noname
s8-5,Numerical Implementation of a Leak Testing Method to be applied to High Voltage Batteries,TUM,noname
s8-3,Numerical Investigation of Water Flow in Narrow Gaps of Vehicle Interior Components,Audi,noname
s8-3,Numerical Investigation of Water Flow in Narrow Gaps of Vehicle Interior Components,Technical University of Munich,noname
s20-5,NVH性能目標を車両音圧からコンポーネント固有値に分解する手法の提案,アルテアエンジニアリング,noname
s20-5,NVH性能目標を車両音圧からコンポーネント固有値に分解する手法の提案,ダイハツ工業,noname
s26-2,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-ドライビングシミュレータを用いた評価手法検討-,Astemo,noname
s26-2,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-ドライビングシミュレータを用いた評価手法検討-,トヨタ自動車,noname
s26-1,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-リアルタイム性を有するダンパーモデルの開発とOEM車両モデルの社内開発への活用-,Astemo,noname
s26-1,OEM-サプライヤ間のモデル流通によるダンパー特性と車両運動性能のモデルベース開発<br>-リアルタイム性を有するダンパーモデルの開発とOEM車両モデルの社内開発への活用-,トヨタ自動車,noname
s46-2,Optimization of laminated stacks for electrified vehicle drives,Bosch Transmission Technology BV,noname
s46-2,Optimization of laminated stacks for electrified vehicle drives,Robert Bosch,noname
s27-3,Optimization of price plan for a smart satellite city with price sensitivity considered,Sophia University,noname
s24-3,Package and design study for application of B pillar less door,Hyundai Motor,noname
s39-2,PEFCの単セル評価における高温運転条件の影響,トヨタ自動車,noname
s39-2,PEFCの単セル評価における高温運転条件の影響,技術研究組合FC-Cubic,noname
s39-2,PEFCの単セル評価における高温運転条件の影響,堀場製作所,noname
s12-3,Penetration testing of automotive systems,IAV,noname
s12-3,Penetration testing of automotive systems,IAV Japan Co. Ltd.,noname
s64-4,PIV-DDMを用いた尿素SCRシステムにおける噴霧液滴挙動のシミュレーションと性能予測,東海大学,noname
s53-3,PLATEAU 3D 都市モデルを用いた追突事故防止教育用ドライビングシミュレータの改良,九州産業大学,noname
s53-3,PLATEAU 3D 都市モデルを用いた追突事故防止教育用ドライビングシミュレータの改良,九州産業大学大学院,noname
s53-3,PLATEAU 3D 都市モデルを用いた追突事故防止教育用ドライビングシミュレータの改良,九州大学,noname
s7-3,Proof of advanced emission control systems and thermal strategies for future NRMM regulations,AECC,noname
s7-3,Proof of advanced emission control systems and thermal strategies for future NRMM regulations,AVL List,noname
s78-3,Raising the bar for heavy quadricycles safety in urban mobility<br>-Structure and occupant protection assessment of a L7-e vehicle through Euro NCAP tailored crash test protocols-,Applus+ IDIADA,noname
s9-1,Research on Aerodynamic Performance Enhancement of an Automobile Through Utilization of Cooling Ventilation,Hiroshima University,noname
s9-1,Research on Aerodynamic Performance Enhancement of an Automobile Through Utilization of Cooling Ventilation,Mazda,noname
s23-1,Research on securing the formability of aluminum 7000 series 3D printing alloy and optimizing heat treatment through adding Zr inoculant and refining crystal grains to achieve high strength and elongation of body structure,Hyndai Motor Group,noname
s71-1,Revolutionizing Battery Management: AI-Powered Digital Twin for Predictive Maintenance and Enhanced Performance,AVL List,noname
s35-1,SDVの実現に向けたAUTOSARの取り組み（第3報）,AUTOSAR,noname
s49-3,Seat Comfort Strategy considering High Performance Vehicle Package Factors,Hyundai Motor,noname
s49-3,Seat Comfort Strategy considering High Performance Vehicle Package Factors,Hyundai Motor Europe Technical Center,noname
s12-2,Secure agile software development in the automotive industry,IAV,noname
s12-2,Secure agile software development in the automotive industry,IAV Japan Co. Ltd.,noname
s11-2,Securitization of an automotive FOTA process in compliance with UNECE R155 &amp; R156,Applus+ IDIADA,noname
s26-3,SIL環境とHIL環境を使用したバッテリマネジメントシステム（BMS）開発の効率化,dSPACE GmbH,noname
s26-3,SIL環境とHIL環境を使用したバッテリマネジメントシステム（BMS）開発の効率化,dSPACE Japan,noname
s25-3,Simulation verification and validation: the challenge we all face,ESI,noname
s25-3,Simulation verification and validation: the challenge we all face,IRT SystemX,noname
s37-6,Smart lightweight and performance solutions for structural parts by Tailor Rolled Blanks,Mubea Japan Co. ltd,noname
s37-6,Smart lightweight and performance solutions for structural parts by Tailor Rolled Blanks,Muhr und Bender KG,noname
s41-1,Smart Microgrid-Integrated Dynamic Fast Charging Station,Newcastle University,noname
s41-1,Smart Microgrid-Integrated Dynamic Fast Charging Station,Taibah University,noname
s41-1,Smart Microgrid-Integrated Dynamic Fast Charging Station,UCL,noname
s82-3,Study on Plastic Materials for FCEV Thermal Management System Components : Comparative Analysis of PA and PP,Hyundai Motor,noname
s82-1,Study on Prediction of Roof Rack Performance using Data Learning Finite Elements Analysis Technique,SECO ECOPLASTIC,noname
s45-4,Subjective Ride Comfort Evaluation Based on CAE Simulation Results,ESI,noname
s48-3,Tesla Cybertruck Aerodynamics - A fully automated reverse engineering methodology using 3D Scanning and OpenFOAM,AirShaper,noname
s24-2,The Development of the TPV Door Inner Belt WeatherStrip meets Wind Noise Targets and Prevents Glass Sliding Squeak Noise Simultaneously,Hyundai Motor,noname
s42-4,The importance of ERS for COI2 reduction from road vehicles,Lund University,noname
s67-3,Thermal manikin for optimizing the cabin climatization control strategy,FEV Europe,noname
s67-3,Thermal manikin for optimizing the cabin climatization control strategy,FEV Japan,noname
s67-3,Thermal manikin for optimizing the cabin climatization control strategy,FEV Vehicle GmbH,noname
s67-3,Thermal manikin for optimizing the cabin climatization control strategy,tme,noname
s78-6,THUMSを用いた歩行者衝突における筋活性の影響調査,トヨタ自動車,noname
s61-5,Tier1 Tier2間のMBD連携の為の半導体モデル精度の影響とアクチュエーター駆動回路動作への適用検討,ACテクノロジーズ株式会社,noname
s61-5,Tier1 Tier2間のMBD連携の為の半導体モデル精度の影響とアクチュエーター駆動回路動作への適用検討,KOA,noname
s61-5,Tier1 Tier2間のMBD連携の為の半導体モデル精度の影響とアクチュエーター駆動回路動作への適用検討,シーメンス,noname
s61-5,Tier1 Tier2間のMBD連携の為の半導体モデル精度の影響とアクチュエーター駆動回路動作への適用検討,デンソー,noname
s61-5,Tier1 Tier2間のMBD連携の為の半導体モデル精度の影響とアクチュエーター駆動回路動作への適用検討,ルビコン,noname
s61-5,Tier1 Tier2間のMBD連携の為の半導体モデル精度の影響とアクチュエーター駆動回路動作への適用検討,東芝デバイス＆ストレージ,noname
s61-5,Tier1 Tier2間のMBD連携の為の半導体モデル精度の影響とアクチュエーター駆動回路動作への適用検討,名古屋工業大学,noname
s68-2,Towards a multi-performance real time capable tire model,Cosin scientific software AG,noname
s68-1,Tread Depth Monitoring for Automotive Tires,Continental Automotive Technologies GmbH,noname
s68-1,Tread Depth Monitoring for Automotive Tires,Continental SCR,noname
s30-3,Trustworthy Multimodal Generative AI for ADAS Development,Siemens Digital Industries Software,noname
s32-1,V2N技術を用いた危険回避ブレーキ制御システムの成立性検証,アイネット株式会社,noname
s32-1,V2N技術を用いた危険回避ブレーキ制御システムの成立性検証,ソフトバンク株式会社,noname
s32-1,V2N技術を用いた危険回避ブレーキ制御システムの成立性検証,テクノコ株式会社,noname
s32-1,V2N技術を用いた危険回避ブレーキ制御システムの成立性検証,トヨタ自動車,noname
s18-4,Vehicle Motion Control on Electric Vehicles<br>-Capabilities on connecting Chassis and Powertrain Features-,FEV,noname
s18-1,Verification of PBV driving performance for universal mobility using suspension module test rig,Hyundai Motor,noname
s44-5,Virtual Mount Design Framework for Component-Based TPA,Siemens Digital Industries Software,noname
s44-6,Virtual Point Transformationを用いた実稼働時6自由度寄与分離手法について<br>-簡易自動車模型を用いた寄与分析-,大阪工業大学,noname
s11-3,WPA3 technology in Automotive: Enhancing security for connected vehicles.,Applus+ IDIADA,noname
s72-4,xEV の性能評価に用いる4WDシャシダイナモメータ評価手法の検討（第2報）<br>--4WDシャシダイナモメータ性能要件の電費影響を考慮した評価パラメータの検討--,自動車技術総合機構,noname
s72-4,xEV の性能評価に用いる4WDシャシダイナモメータ評価手法の検討（第2報）<br>--4WDシャシダイナモメータ性能要件の電費影響を考慮した評価パラメータの検討--,小野測器,noname
s72-4,xEV の性能評価に用いる4WDシャシダイナモメータ評価手法の検討（第2報）<br>--4WDシャシダイナモメータ性能要件の電費影響を考慮した評価パラメータの検討--,日本自動車輸送技術協会,noname
s72-4,xEV の性能評価に用いる4WDシャシダイナモメータ評価手法の検討（第2報）<br>--4WDシャシダイナモメータ性能要件の電費影響を考慮した評価パラメータの検討--,堀場製作所,noname
s72-4,xEV の性能評価に用いる4WDシャシダイナモメータ評価手法の検討（第2報）<br>--4WDシャシダイナモメータ性能要件の電費影響を考慮した評価パラメータの検討--,明電舎,noname
s2-1,λ=1過給直噴水素エンジンの開発,AVL List,noname
s2-1,λ=1過給直噴水素エンジンの開発,スズキ,noname
s76-1,アクティブな内傾機構を備えたパーソナルモビリティビークル(PMV)の制動を伴う障害物回避性能の考察,大阪産業大学,noname
s76-1,アクティブな内傾機構を備えたパーソナルモビリティビークル(PMV)の制動を伴う障害物回避性能の考察,名古屋大学/日本大学,noname
s33-2,アルゴン循環型2サイクル水素エンジンの研究,東海大学,noname
s33-3,アルゴン循環型水素エンジンにおける循環系加圧の研究,東海大学,noname
s23-2,アルミ部品の衝突解析におけるモデル化の影響検討,コベルコ科研,noname
s10-4,インフュージョン成形の特性を活かした意匠再現性,ファブリケーター,noname
s17-2,インホイールモーターの回転数変動情報に基づくトラクション制御手法の開発,日立製作所,noname
s17-3,インホイールモーターの制駆動力を用いた乗り心地を向上させる車両上下振動の制御技術の開発,東京大学,noname
s17-3,インホイールモーターの制駆動力を用いた乗り心地を向上させる車両上下振動の制御技術の開発,日立製作所,noname
s59-2,ウルトラファインバブルを含むエンジン油がエンジン軸受の摩擦低減に与える効果<br>-発生密度およびオイル粘度の影響-,東京都市大学 総合研究所 HEET,noname
s59-2,ウルトラファインバブルを含むエンジン油がエンジン軸受の摩擦低減に与える効果<br>-発生密度およびオイル粘度の影響-,東京都市大学大学院,noname
s59-1,ウルトラファインバブルを含むエンジン油がピストン系摩擦損失低減に与える効果<br>-シリンダボア面性状及び潤滑油の粘度変化と摩擦低減の関係-,東京都市大学 総合研究所 HEET,noname
